,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SIMILARITY
55,29175,0.163,0.08800000000000001,0.145,0.194,0.41,0.05080354318352216
56,47089,0.151,0.092,0.149,0.17600000000000002,0.431,0.051029403288692265
57,18145,0.16,0.057,0.177,0.193,0.413,0.051487862647423985
58,31077,0.122,0.091,0.122,0.245,0.421,0.05165268628057983
59,21039,0.104,0.045,0.188,0.236,0.428,0.05169139193328035
60,13157,0.125,0.085,0.117,0.24,0.434,0.052402290026295616
61,47139,0.08900000000000001,0.069,0.15,0.24,0.452,0.05256424640380571
62,28117,0.103,0.104,0.17,0.234,0.389,0.053413481444294565
63,28047,0.093,0.071,0.142,0.237,0.457,0.053507008886687
64,21147,0.096,0.116,0.14300000000000002,0.203,0.441,0.05360970061472084
65,20029,0.154,0.077,0.118,0.217,0.434,0.05386093203798092
66,5011,0.094,0.102,0.175,0.184,0.445,0.053972215074054544
67,21013,0.146,0.094,0.12,0.199,0.44,0.054000000000000006
68,47065,0.116,0.116,0.129,0.229,0.411,0.05420332093147059
69,30031,0.132,0.093,0.115,0.213,0.448,0.05433231082882449
70,20143,0.131,0.117,0.16399999999999998,0.191,0.396,0.05444263035526477
71,26059,0.135,0.075,0.119,0.247,0.424,0.05483611948342078
72,39087,0.08900000000000001,0.097,0.185,0.23,0.399,0.05500000000000002
73,47091,0.107,0.079,0.141,0.261,0.412,0.055090834083357285
74,22115,0.092,0.066,0.145,0.244,0.453,0.05518151864528557
75,55067,0.085,0.102,0.142,0.239,0.4320000000000001,0.055272054421741934
76,16027,0.113,0.095,0.17,0.24,0.381,0.05551576352712803
77,48233,0.112,0.064,0.128,0.249,0.447,0.05581218504950332
78,1127,0.09,0.081,0.145,0.256,0.429,0.05598214000911364
79,40071,0.099,0.12,0.135,0.225,0.419,0.05632938842203064
80,12091,0.091,0.083,0.147,0.21,0.469,0.05654201977290872
81,48101,0.107,0.106,0.188,0.17600000000000002,0.423,0.05671860364994893
82,55069,0.101,0.105,0.132,0.204,0.459,0.0575325994545701
83,39109,0.077,0.07,0.19,0.227,0.436,0.05754128952326321
84,55117,0.128,0.114,0.174,0.199,0.385,0.05757603668193911
85,18091,0.084,0.075,0.168,0.206,0.466,0.05765414122159832
86,13011,0.136,0.103,0.125,0.238,0.399,0.057810033731178566
87,13155,0.098,0.091,0.126,0.224,0.46,0.05782732917920385
88,47051,0.166,0.092,0.13,0.201,0.411,0.05806031346797912
89,48073,0.123,0.063,0.14800000000000002,0.192,0.475,0.05812056434688154
90,17003,0.11,0.08199999999999999,0.14800000000000002,0.262,0.398,0.05819793810780586
91,31153,0.094,0.069,0.14400000000000002,0.26,0.433,0.05823229344616269
92,21103,0.093,0.08199999999999999,0.174,0.254,0.398,0.058429444631966185
93,18049,0.142,0.114,0.128,0.217,0.399,0.05857473858242989
94,21237,0.14,0.095,0.114,0.203,0.448,0.0586259328283994
95,47035,0.096,0.093,0.201,0.214,0.395,0.05877074101966045
96,12089,0.09,0.07,0.147,0.223,0.47,0.05877924803874238
97,20201,0.14800000000000002,0.075,0.111,0.234,0.4320000000000001,0.05985816569190875
98,29013,0.138,0.068,0.112,0.237,0.444,0.06013318551349165
99,29207,0.13699999999999998,0.12,0.156,0.17600000000000002,0.411,0.06020797289396145
100,27027,0.092,0.121,0.138,0.23,0.419,0.06025777958073132
101,13241,0.1,0.083,0.124,0.229,0.464,0.06057227088363123
102,22117,0.103,0.046,0.14800000000000002,0.242,0.461,0.06060528029800705
103,40049,0.075,0.087,0.157,0.249,0.433,0.06074537019394977
104,13197,0.084,0.12,0.16699999999999998,0.196,0.433,0.06090155991434045
105,17151,0.104,0.054000000000000006,0.213,0.214,0.415,0.0611637147334921
106,20021,0.131,0.121,0.16399999999999998,0.174,0.41,0.061212743771211574
107,40013,0.094,0.087,0.125,0.237,0.457,0.061408468471376175
108,47125,0.083,0.063,0.203,0.228,0.423,0.06155485358604959
109,19083,0.07400000000000001,0.075,0.195,0.214,0.441,0.06182232606429493
110,19005,0.138,0.049,0.132,0.212,0.469,0.06202418882984281
111,17023,0.127,0.08900000000000001,0.107,0.226,0.451,0.06223343153000646
112,22127,0.086,0.106,0.13,0.236,0.443,0.0626258732474047
113,55083,0.07,0.08199999999999999,0.18600000000000005,0.215,0.447,0.0627295783502488
114,13301,0.095,0.065,0.14,0.226,0.474,0.06276145313805281
115,13119,0.168,0.07400000000000001,0.117,0.215,0.425,0.06307138812488593
116,20165,0.11,0.122,0.182,0.183,0.403,0.06317436188834835
117,48147,0.117,0.126,0.131,0.226,0.4,0.06331666447310691
118,19155,0.115,0.083,0.147,0.264,0.39,0.06332456079595028
119,40095,0.13,0.07400000000000001,0.114,0.256,0.425,0.06354525946126903
120,54047,0.07,0.095,0.189,0.226,0.42,0.06364746656387825
121,21051,0.153,0.08199999999999999,0.165,0.16,0.44,0.0638200595424354
122,13069,0.085,0.124,0.16399999999999998,0.222,0.404,0.0638278935889318
123,47101,0.098,0.084,0.198,0.236,0.385,0.06414047084329831
124,13293,0.16,0.1,0.114,0.206,0.421,0.06435837163881633
125,13019,0.073,0.098,0.156,0.214,0.46,0.06442049363362566
126,54007,0.102,0.131,0.16699999999999998,0.202,0.398,0.06449030934954493
127,37165,0.13699999999999998,0.029,0.17800000000000002,0.199,0.458,0.0648074069840786
128,55043,0.103,0.102,0.18,0.166,0.449,0.06493843238021688
129,31125,0.091,0.111,0.131,0.207,0.459,0.06494613152451807
130,13091,0.145,0.025,0.15,0.236,0.443,0.06497691897897281
131,48421,0.125,0.073,0.129,0.267,0.406,0.06498461356351977
132,28137,0.097,0.052000000000000005,0.149,0.265,0.4370000000000001,0.06512296062065978
133,39001,0.07400000000000001,0.116,0.149,0.222,0.439,0.06518435395092904
134,18021,0.122,0.073,0.112,0.226,0.466,0.06520736154760448
135,45033,0.156,0.056,0.188,0.17,0.43,0.06529165337162167
136,5065,0.086,0.121,0.133,0.23,0.43,0.06544463308782471
137,28005,0.11,0.092,0.122,0.204,0.473,0.06549809157525126
138,28145,0.078,0.085,0.14800000000000002,0.219,0.47,0.06552098900352465
139,13283,0.096,0.07,0.168,0.267,0.399,0.06577993615077476
140,28011,0.123,0.046,0.127,0.249,0.456,0.06607571414672718
141,23003,0.14300000000000002,0.047,0.12,0.243,0.447,0.06608328079022713
142,54109,0.073,0.098,0.17600000000000002,0.245,0.408,0.06614378277661477
143,29143,0.098,0.112,0.149,0.18,0.461,0.06615889962809238
144,20075,0.131,0.095,0.189,0.217,0.368,0.06629479617586886
145,17045,0.174,0.09,0.131,0.208,0.398,0.06640783086353595
146,5067,0.116,0.103,0.135,0.179,0.468,0.06651315659326355
147,29219,0.11,0.083,0.111,0.25,0.446,0.06656575696257049
148,5133,0.12,0.093,0.155,0.165,0.467,0.06659579566308974
149,19115,0.097,0.058,0.15,0.214,0.482,0.06667833231267868
150,20041,0.106,0.118,0.14800000000000002,0.243,0.385,0.06707458535093601
151,20159,0.153,0.086,0.11,0.241,0.41,0.06722350779303324
152,54011,0.092,0.09,0.154,0.18600000000000005,0.476,0.06737210105080592
154,48207,0.087,0.128,0.13699999999999998,0.209,0.439,0.06777167549942972
155,49015,0.122,0.109,0.106,0.239,0.424,0.06791906948714772
156,20067,0.14,0.108,0.15,0.231,0.37,0.068
157,47063,0.157,0.113,0.121,0.189,0.42,0.06805145112339635
158,21105,0.097,0.065,0.221,0.202,0.415,0.06847627326307998
159,39009,0.071,0.115,0.16399999999999998,0.236,0.413,0.06862943974709397
160,28131,0.109,0.064,0.124,0.224,0.479,0.0691158447825099
161,20009,0.107,0.131,0.12,0.211,0.43,0.06913754406977443
162,17165,0.117,0.106,0.111,0.204,0.462,0.06920260110718385
163,47049,0.123,0.122,0.157,0.162,0.4370000000000001,0.06928203230275509
164,21075,0.1,0.102,0.202,0.217,0.38,0.0694262198308391
165,18045,0.077,0.08900000000000001,0.147,0.212,0.474,0.0695557330491168
166,47121,0.08,0.118,0.136,0.214,0.453,0.06969935437290649
167,48357,0.15,0.104,0.105,0.201,0.439,0.07004284403134982
168,5033,0.155,0.1,0.16699999999999998,0.211,0.3670000000000001,0.07012132343303279
169,54083,0.098,0.05,0.14,0.265,0.447,0.07024955515873395
170,39143,0.139,0.07400000000000001,0.109,0.209,0.469,0.07026378868236467
171,48065,0.099,0.064,0.124,0.252,0.462,0.07038465741907113
172,18129,0.132,0.056,0.115,0.226,0.472,0.07095068710026707
173,45085,0.128,0.054000000000000006,0.154,0.182,0.483,0.07097887009526144
174,5025,0.107,0.03,0.16,0.231,0.472,0.07112664760833316
175,40105,0.14800000000000002,0.121,0.16399999999999998,0.181,0.386,0.0713652576538472
176,29077,0.099,0.08199999999999999,0.128,0.272,0.418,0.07137226352022194
177,1069,0.085,0.079,0.135,0.268,0.433,0.0714212853426764
178,21001,0.076,0.115,0.16699999999999998,0.243,0.399,0.0716309988761849
179,29201,0.125,0.115,0.128,0.247,0.385,0.07177046746399246
180,54099,0.111,0.119,0.18600000000000005,0.162,0.423,0.0718192174839019
181,17051,0.069,0.076,0.156,0.229,0.47,0.07207634840916956
182,1015,0.152,0.108,0.13,0.16699999999999998,0.442,0.0721110255092798
183,54105,0.112,0.059,0.219,0.222,0.389,0.07215261603018976
184,55095,0.081,0.113,0.154,0.253,0.399,0.07235329985563893
185,29071,0.122,0.086,0.1,0.233,0.458,0.07236021006050218
186,55091,0.071,0.056,0.198,0.233,0.443,0.07240165743959183
187,12067,0.102,0.081,0.22,0.208,0.389,0.07254653678846426
188,21197,0.112,0.099,0.102,0.232,0.455,0.07257410006331462
189,16017,0.08800000000000001,0.116,0.119,0.241,0.436,0.07268424863751431
190,21129,0.129,0.069,0.129,0.273,0.399,0.0727873615403114
191,30067,0.114,0.099,0.106,0.214,0.467,0.07287660804400822
192,13003,0.059,0.1,0.179,0.217,0.445,0.07289032857656769
193,47163,0.096,0.091,0.14300000000000002,0.187,0.483,0.07290404652692467
194,20135,0.15,0.083,0.199,0.198,0.371,0.07328028384224501
195,18015,0.059,0.104,0.17,0.22,0.447,0.0733007503372237
196,40139,0.123,0.12,0.102,0.225,0.43,0.07342342950312251
197,18087,0.059,0.08199999999999999,0.171,0.236,0.452,0.0736545993132812
198,47165,0.104,0.069,0.14,0.196,0.49,0.07370210309075312
199,47057,0.126,0.134,0.129,0.221,0.39,0.07377669008569035
200,1045,0.08900000000000001,0.113,0.118,0.22,0.46,0.07410128204019148
201,5021,0.08199999999999999,0.124,0.157,0.242,0.395,0.07414175611623992
202,55027,0.11,0.138,0.166,0.2,0.386,0.07423610981186984
203,48341,0.101,0.064,0.123,0.27,0.441,0.07426977851050859
204,1067,0.066,0.068,0.17,0.258,0.438,0.07439758060582348
205,19127,0.077,0.064,0.153,0.226,0.48,0.07446475676452588
206,55041,0.085,0.053,0.162,0.215,0.484,0.07451174404078863
207,16073,0.123,0.13699999999999998,0.146,0.171,0.423,0.07455870170543473
208,18115,0.06,0.078,0.18,0.223,0.459,0.07461233142048304
209,13075,0.098,0.134,0.123,0.203,0.441,0.0747127833774114
210,12049,0.114,0.041,0.179,0.18600000000000005,0.48,0.07471947537289055
211,5149,0.116,0.1,0.112,0.198,0.474,0.07477298977572049
212,22015,0.068,0.096,0.14400000000000002,0.225,0.468,0.07488658090739621
213,21045,0.16399999999999998,0.076,0.161,0.154,0.444,0.07513986957667679
214,46047,0.141,0.093,0.152,0.25,0.364,0.07514652353901675
215,47055,0.061,0.068,0.192,0.237,0.441,0.07543208866258445
216,29155,0.079,0.134,0.175,0.204,0.407,0.07544534445544006
217,47115,0.115,0.122,0.135,0.247,0.381,0.07550496672405066
218,20189,0.122,0.132,0.112,0.225,0.408,0.07568355171369802
219,16055,0.146,0.105,0.17,0.22,0.359,0.07570336848516054
220,46105,0.132,0.081,0.185,0.243,0.36,0.0757099729229908
221,22011,0.086,0.069,0.16899999999999998,0.191,0.486,0.07592101158440923
222,19177,0.107,0.128,0.175,0.218,0.3720000000000001,0.07600657866263942
223,56045,0.142,0.129,0.14800000000000002,0.207,0.374,0.07603288762108143
224,26023,0.07200000000000001,0.091,0.205,0.234,0.399,0.0760394634384015
225,13161,0.124,0.138,0.165,0.183,0.39,0.07617742447733447
226,48433,0.084,0.122,0.12,0.224,0.449,0.07624959016283303
227,27025,0.064,0.104,0.165,0.253,0.414,0.07625614729318551
228,17199,0.095,0.122,0.136,0.183,0.464,0.07633478892353078
229,28091,0.13699999999999998,0.096,0.103,0.255,0.408,0.07651143705355429
230,18035,0.095,0.109,0.124,0.197,0.475,0.07683098333354846
231,55045,0.092,0.084,0.119,0.269,0.436,0.07685701009016678
232,28003,0.069,0.131,0.15,0.222,0.428,0.07693503753167344
233,54009,0.067,0.11,0.195,0.192,0.436,0.07694803441284254
234,31071,0.168,0.084,0.142,0.236,0.37,0.07701298591796063
235,29069,0.068,0.085,0.154,0.215,0.478,0.07702596964660685
236,21007,0.107,0.033,0.198,0.257,0.404,0.0770713954719908
237,47031,0.165,0.09,0.174,0.208,0.363,0.07718160402582988
238,47119,0.119,0.07,0.19,0.156,0.466,0.07723988606931008
239,29209,0.056,0.093,0.171,0.247,0.434,0.0773563184232549
240,47007,0.08199999999999999,0.122,0.131,0.251,0.415,0.07736924453553881
241,29221,0.181,0.092,0.118,0.191,0.418,0.07737570678190928
242,17049,0.07200000000000001,0.07200000000000001,0.214,0.232,0.41,0.07742738533619742
243,55127,0.116,0.146,0.13699999999999998,0.191,0.41,0.07747902942086975
244,55093,0.063,0.094,0.14400000000000002,0.25,0.449,0.07756932383358774
245,1041,0.06,0.091,0.199,0.233,0.416,0.07761443164772902
246,29171,0.107,0.111,0.209,0.191,0.382,0.0776337555448659
247,27171,0.083,0.109,0.162,0.259,0.387,0.0776595132614157
248,39139,0.066,0.08,0.213,0.221,0.419,0.07773030297123511
249,20069,0.158,0.092,0.146,0.24,0.364,0.07773673520286274
250,27021,0.105,0.127,0.107,0.235,0.426,0.07799358948016177
251,29145,0.156,0.121,0.14,0.211,0.373,0.0780512652043514
252,17009,0.18,0.099,0.136,0.2,0.385,0.07817288532477228
253,1071,0.092,0.08900000000000001,0.11,0.249,0.46,0.07831347265956225
254,47099,0.07400000000000001,0.129,0.156,0.192,0.45,0.07833262411026456
255,47073,0.118,0.146,0.132,0.196,0.407,0.07834538914320355
256,1077,0.093,0.119,0.141,0.179,0.469,0.07837091297158659
257,21151,0.08800000000000001,0.094,0.114,0.233,0.471,0.0785302489490515
258,21077,0.076,0.048,0.198,0.211,0.466,0.07853661566428748
259,54013,0.085,0.07,0.227,0.21,0.408,0.07854298186343575
260,55017,0.059,0.098,0.184,0.246,0.414,0.07854934754662195
261,47019,0.115,0.031,0.151,0.215,0.487,0.07885429601486534
262,54045,0.08199999999999999,0.11,0.116,0.247,0.445,0.07886063656856952
263,46059,0.182,0.071,0.147,0.225,0.376,0.07904429138147799
264,13017,0.129,0.078,0.109,0.202,0.483,0.07904429138147802
265,16045,0.119,0.136,0.111,0.198,0.436,0.0791012010022604
266,46017,0.161,0.059,0.157,0.253,0.371,0.07910752176626441
267,45073,0.142,0.061,0.103,0.221,0.472,0.07919595949289335
268,54101,0.065,0.083,0.163,0.211,0.479,0.07948584779695063
269,28139,0.068,0.069,0.217,0.213,0.434,0.07952358140828418
270,5077,0.103,0.032,0.195,0.263,0.407,0.07998124780221924
271,46071,0.129,0.052000000000000005,0.136,0.281,0.401,0.08001249902359006
272,39013,0.08199999999999999,0.086,0.118,0.25,0.464,0.08006872048434395
273,38039,0.162,0.054000000000000006,0.197,0.217,0.37,0.08016857239592083
274,39169,0.064,0.08199999999999999,0.14400000000000002,0.245,0.466,0.0801748090113098
275,30007,0.165,0.098,0.099,0.199,0.439,0.08018104514160439
276,39081,0.076,0.142,0.152,0.209,0.42,0.08022468448052633
277,8109,0.065,0.122,0.138,0.232,0.443,0.08047981113297918
278,17139,0.081,0.073,0.213,0.243,0.39,0.08098765338000599
279,13167,0.119,0.053,0.109,0.251,0.468,0.0810123447383175
280,18031,0.175,0.083,0.101,0.204,0.4370000000000001,0.08107404023483719
281,29001,0.067,0.098,0.187,0.253,0.395,0.08144323176298936
282,5013,0.145,0.132,0.108,0.211,0.404,0.08160269603389339
283,20081,0.153,0.107,0.13699999999999998,0.239,0.364,0.08162720134857007
284,31177,0.086,0.116,0.15,0.261,0.386,0.0816333265278342
285,39065,0.149,0.121,0.134,0.227,0.368,0.08168231142664853
286,40117,0.17800000000000002,0.085,0.159,0.213,0.365,0.0817251491280377
287,18167,0.118,0.064,0.102,0.25,0.466,0.08172514912803773
288,51191,0.123,0.099,0.14400000000000002,0.266,0.368,0.08174961773610934
289,39033,0.101,0.107,0.126,0.184,0.482,0.08184741901856164
290,40089,0.131,0.141,0.117,0.187,0.423,0.0818657437515839
291,17173,0.07,0.047,0.168,0.245,0.469,0.0819512049941915
292,5009,0.129,0.145,0.122,0.189,0.416,0.08217055433669655
293,54095,0.083,0.056,0.13699999999999998,0.272,0.452,0.08217663901620707
294,20123,0.173,0.116,0.14400000000000002,0.18,0.388,0.08220705565825842
295,1029,0.151,0.125,0.138,0.217,0.368,0.08234075540095559
296,20205,0.125,0.14800000000000002,0.145,0.184,0.398,0.08239538822045807
297,55033,0.062,0.076,0.179,0.266,0.417,0.08256512580987206
298,42061,0.07,0.06,0.155,0.232,0.483,0.08280700453464067
299,28059,0.077,0.092,0.12,0.24,0.472,0.08293370846646136
300,21189,0.121,0.058,0.157,0.282,0.382,0.08302409288875125
301,39053,0.07400000000000001,0.08199999999999999,0.203,0.17800000000000002,0.463,0.08319254774317228
302,22091,0.064,0.126,0.138,0.237,0.434,0.0832105762508589
303,47179,0.061,0.07400000000000001,0.166,0.218,0.48,0.08322259308625272
304,54029,0.07200000000000001,0.128,0.151,0.19,0.459,0.08326463835266444
305,6035,0.064,0.068,0.162,0.225,0.482,0.08337865434270336
306,5131,0.121,0.142,0.157,0.208,0.3720000000000001,0.08343260753446455
307,13005,0.071,0.132,0.187,0.188,0.421,0.08359425817602548
308,47173,0.086,0.145,0.16699999999999998,0.181,0.421,0.08366002629691194
309,8099,0.079,0.046,0.205,0.201,0.469,0.08367197858303578
310,20077,0.079,0.118,0.21,0.193,0.4,0.08368392916205596
311,13055,0.116,0.102,0.187,0.14300000000000002,0.451,0.08377350416450298
312,22073,0.076,0.098,0.121,0.229,0.476,0.08387490685538798
313,48205,0.1,0.07,0.116,0.28,0.434,0.08399404740813486
314,40025,0.14,0.08900000000000001,0.153,0.26,0.358,0.08413679337840255
315,30059,0.188,0.093,0.12,0.203,0.396,0.08421995013059552
316,51021,0.081,0.114,0.2,0.166,0.44,0.08432081593533118
317,37103,0.064,0.051,0.208,0.233,0.445,0.08473488065725948
318,40143,0.07400000000000001,0.061,0.141,0.243,0.482,0.08473488065725948
319,47177,0.14,0.107,0.189,0.212,0.35200000000000004,0.0851293134002618
320,21131,0.094,0.103,0.142,0.174,0.487,0.08527015890685327
321,13149,0.126,0.094,0.166,0.14400000000000002,0.471,0.08547514258543241
322,1131,0.061,0.098,0.199,0.187,0.455,0.08553946457629953
323,47109,0.107,0.105,0.115,0.274,0.4,0.0855920557061226
324,54107,0.094,0.099,0.149,0.277,0.381,0.08562125904236632
325,47085,0.121,0.095,0.156,0.267,0.36,0.08574380444090407
326,39119,0.136,0.145,0.121,0.182,0.416,0.08580792504192139
327,13147,0.092,0.061,0.14,0.207,0.5,0.0858195781858662
328,13045,0.08900000000000001,0.133,0.154,0.168,0.457,0.08584870412533903
329,47001,0.08800000000000001,0.105,0.112,0.215,0.48,0.0859127464349732
330,21037,0.073,0.085,0.134,0.278,0.43,0.08601744009211157
331,13207,0.07200000000000001,0.035,0.184,0.253,0.455,0.08602325267042628
332,30057,0.172,0.113,0.105,0.21,0.4,0.08604068804931768
333,47123,0.07,0.138,0.165,0.229,0.397,0.08622064717919949
334,22003,0.196,0.07,0.118,0.2,0.416,0.08671216754296941
335,27013,0.065,0.078,0.146,0.276,0.435,0.08679285684893663
336,27097,0.14,0.126,0.121,0.24,0.373,0.08702298546935745
337,45007,0.069,0.065,0.138,0.26,0.468,0.08705745229444749
338,40135,0.106,0.11,0.209,0.212,0.362,0.08712060605849796
339,48191,0.179,0.065,0.19,0.157,0.41,0.08729261137118076
340,27149,0.16899999999999998,0.126,0.117,0.192,0.397,0.08731551981177227
341,48467,0.138,0.14300000000000002,0.151,0.161,0.407,0.08765272385955841
342,19149,0.125,0.145,0.166,0.162,0.402,0.08803976374343582
343,19079,0.14300000000000002,0.118,0.129,0.153,0.457,0.08814193099768125
344,18043,0.053,0.086,0.154,0.233,0.474,0.088175960442742
345,13173,0.102,0.07,0.145,0.181,0.502,0.08819863944528851
346,17149,0.138,0.079,0.218,0.205,0.36,0.08820997676000147
347,21149,0.081,0.105,0.107,0.249,0.459,0.0882609766544649
348,21049,0.083,0.093,0.11,0.233,0.48,0.08838551917593741
349,19023,0.052000000000000005,0.094,0.208,0.23,0.417,0.0884646822183859
350,55009,0.069,0.053,0.184,0.208,0.486,0.08847033401089882
351,31149,0.13,0.102,0.198,0.222,0.349,0.08850988645343526
352,39039,0.052000000000000005,0.114,0.152,0.221,0.462,0.08852118390532293
353,21231,0.102,0.151,0.16,0.16899999999999998,0.417,0.08865664103720601
354,20169,0.126,0.133,0.175,0.209,0.35700000000000004,0.08876373133211556
355,27051,0.11,0.13699999999999998,0.193,0.165,0.396,0.08897190567814088
356,39105,0.07200000000000001,0.13699999999999998,0.182,0.177,0.4320000000000001,0.08911228871485682
357,48111,0.119,0.07400000000000001,0.123,0.289,0.396,0.08911789943664512
358,20097,0.062,0.107,0.128,0.233,0.469,0.08915155635209067
359,1095,0.075,0.064,0.129,0.253,0.479,0.08922443611477744
360,13217,0.094,0.076,0.123,0.207,0.5,0.08923564310296643
361,13175,0.122,0.056,0.141,0.29100000000000004,0.391,0.0892748564826626
362,40051,0.047,0.098,0.185,0.249,0.422,0.08936442245099557
363,20093,0.155,0.098,0.172,0.229,0.34600000000000003,0.08950418984606248
364,49049,0.068,0.035,0.195,0.244,0.458,0.08954886933959579
365,40085,0.188,0.08,0.103,0.195,0.435,0.08974408058473828
366,1009,0.053,0.114,0.18,0.194,0.459,0.09007219326740078
367,31109,0.093,0.061,0.112,0.264,0.47,0.0900832947887676
369,19011,0.098,0.067,0.13,0.2,0.504,0.09024411338142783
370,27145,0.08199999999999999,0.142,0.187,0.174,0.415,0.09029396436085857
371,31173,0.123,0.153,0.119,0.187,0.418,0.09037145567047153
372,13267,0.051,0.076,0.214,0.224,0.434,0.09043229511629128
373,20107,0.14,0.053,0.121,0.285,0.4,0.09044335243676008
374,22001,0.122,0.111,0.138,0.265,0.362,0.09049309365912957
375,55123,0.157,0.052000000000000005,0.093,0.244,0.454,0.09053728513711903
376,51173,0.087,0.079,0.237,0.182,0.415,0.09053728513711903
377,46085,0.13,0.046,0.119,0.287,0.419,0.09056489386070077
378,40069,0.08800000000000001,0.13699999999999998,0.157,0.244,0.374,0.0906807587087801
379,55057,0.113,0.124,0.18,0.232,0.35200000000000004,0.09071934744033376
380,54085,0.141,0.059,0.183,0.262,0.35600000000000004,0.09074139077620527
381,39067,0.107,0.141,0.153,0.233,0.365,0.09082951062292476
382,22113,0.076,0.08800000000000001,0.115,0.271,0.449,0.09082951062292477
383,31175,0.135,0.09,0.118,0.278,0.38,0.09087353850269067
384,1079,0.162,0.08,0.08800000000000001,0.251,0.419,0.09087904048789247
385,28065,0.141,0.132,0.101,0.181,0.445,0.0912633551870629
386,5147,0.059,0.048,0.208,0.231,0.454,0.0912962211704296
387,17079,0.099,0.135,0.131,0.254,0.38,0.09137833441248533
388,31141,0.044,0.094,0.17600000000000002,0.254,0.4320000000000001,0.0914931691439312
389,47151,0.121,0.14400000000000002,0.154,0.219,0.362,0.09166787877986483
