,COUNTY,YEAR,MEDIAN_AGE_TOT,OVER_65
479,Lawrence Alabama,12,43.0,0.1731563601020532
491,Lee Alabama,12,32.8,0.11276148339025902
503,Limestone Alabama,12,40.0,0.13798716069352474
515,Lowndes Alabama,12,42.4,0.17468640756734527
527,Macon Alabama,12,39.9,0.1868496789904804
539,Madison Alabama,12,38.6,0.1359715104757461
551,Marengo Alabama,12,41.7,0.17293113502624186
563,Marion Alabama,12,44.3,0.19085125719478946
575,Marshall Alabama,12,38.9,0.15478330956661912
587,Mobile Alabama,12,38.1,0.14844510055419763
599,Monroe Alabama,12,44.1,0.18424733516616024
611,Montgomery Alabama,12,36.8,0.13755375608205364
623,Morgan Alabama,12,40.8,0.15976904887240034
635,Perry Alabama,12,39.2,0.17460495349097838
647,Pickens Alabama,12,41.9,0.17340692423482187
659,Pike Alabama,12,31.4,0.13474663284411428
671,Randolph Alabama,12,44.0,0.18655928175336678
683,Russell Alabama,12,37.2,0.13310674419005883
695,St. Clair Alabama,12,40.4,0.15361068906962194
707,Shelby Alabama,12,39.8,0.14292013853800148
719,Sumter Alabama,12,36.0,0.15844532067272873
731,Talladega Alabama,12,41.4,0.16707094450974017
743,Tallapoosa Alabama,12,45.6,0.20244258924368916
755,Tuscaloosa Alabama,12,33.6,0.12233287955864441
767,Walker Alabama,12,42.2,0.1787282945797453
779,Washington Alabama,12,43.0,0.17665074114908735
791,Wilcox Alabama,12,40.7,0.17931167453967028
803,Winston Alabama,12,45.6,0.19366033264209234
11,Apache Arizona,12,35.6,9.740114346126559
23,Cochise Arizona,12,41.8,9.896759898985087
35,Coconino Arizona,12,31.1,10.22580152778165
47,Gila Arizona,12,50.5,9.821661298085823
59,Graham Arizona,12,33.6,9.847609238612662
71,Greenlee Arizona,12,34.5,9.798325963360707
83,La Paz Arizona,12,57.0,9.888525677468259
107,Mohave Arizona,12,52.9,9.937783778943448
119,Navajo Arizona,12,38.2,9.711407810753308
131,Pima Arizona,12,39.1,10.014988460572589
143,Pinal Arizona,12,40.0,9.918922014136031
155,Santa Cruz Arizona,12,37.6,9.718990064088777
167,Yavapai Arizona,12,54.7,9.941244752210771
179,Yuma Arizona,12,35.0,9.85263369615552
11,Arkansas Arkansas,12,42.3,9.817242365320828
23,Ashley Arkansas,12,43.2,9.836455206796561
35,Baxter Arkansas,12,52.2,9.889683296766194
47,Benton Arkansas,12,35.7,9.850841331083576
59,Boone Arkansas,12,42.1,9.82320207309254
71,Bradley Arkansas,12,40.8,9.797528570101273
83,Calhoun Arkansas,12,45.8,9.961803815764117
95,Carroll Arkansas,12,45.1,9.831046511627907
107,Chicot Arkansas,12,43.8,9.836113856493379
119,Clark Arkansas,12,33.0,10.193145161290323
131,Clay Arkansas,12,43.7,9.881774448491514
143,Cleburne Arkansas,12,49.3,9.893306312452346
155,Cleveland Arkansas,12,44.4,9.865057817998993
167,Columbia Arkansas,12,35.7,10.065127680436545
179,Conway Arkansas,12,42.4,9.834615753621797
191,Craighead Arkansas,12,34.3,9.913681434216729
203,Crawford Arkansas,12,39.4,9.817149090219266
215,Crittenden Arkansas,12,35.8,9.75134605359191
227,Cross Arkansas,12,41.1,9.833918021804008
239,Dallas Arkansas,12,46.1,9.850777571693538
251,Desha Arkansas,12,40.0,9.741219963031423
263,Drew Arkansas,12,37.3,9.99293594599045
275,Faulkner Arkansas,12,33.6,10.053025625560485
287,Franklin Arkansas,12,42.1,9.866559412926899
299,Fulton Arkansas,12,48.0,9.801234271058748
311,Garland Arkansas,12,45.5,9.913020948624554
323,Grant Arkansas,12,41.5,9.903832466465918
335,Greene Arkansas,12,38.3,9.850993932708219
347,Hempstead Arkansas,12,39.7,9.708605796024521
359,Hot Spring Arkansas,12,42.1,9.9709247579284
371,Howard Arkansas,12,38.6,9.713270716558098
383,Independence Arkansas,12,39.1,9.804867151354923
395,Izard Arkansas,12,48.2,9.951001540832051
407,Jackson Arkansas,12,40.4,10.02358992762725
419,Jefferson Arkansas,12,39.3,9.951025080809291
431,Johnson Arkansas,12,37.9,9.836477537813229
443,Lafayette Arkansas,12,48.3,9.952641908212561
455,Lawrence Arkansas,12,41.0,9.88802876996221
467,Lee Arkansas,12,41.7,10.090967596251552
479,Lincoln Arkansas,12,39.3,10.292022420147418
491,Little River Arkansas,12,42.8,9.841814177339097
503,Logan Arkansas,12,43.8,9.893403521848503
515,Lonoke Arkansas,12,36.8,9.847014691238456
527,Madison Arkansas,12,41.7,9.821410472972973
539,Marion Arkansas,12,52.8,9.842745896729364
551,Miller Arkansas,12,39.3,9.875241001456411
563,Mississippi Arkansas,12,36.6,9.783931514599887
575,Monroe Arkansas,12,47.3,9.824996269213552
587,Montgomery Arkansas,12,50.9,9.875016692632984
599,Nevada Arkansas,12,43.5,9.798776054289869
611,Newton Arkansas,12,49.1,9.887927253966208
623,Ouachita Arkansas,12,43.6,9.81428449234454
635,Perry Arkansas,12,43.4,9.815915829746531
647,Phillips Arkansas,12,39.6,9.704622652120122
659,Pike Arkansas,12,43.7,9.87233625676432
671,Poinsett Arkansas,12,40.1,9.816903264195853
683,Polk Arkansas,12,44.6,9.788248847926267
695,Pope Arkansas,12,36.2,9.95692658259458
707,Prairie Arkansas,12,46.8,9.855718184073432
719,Pulaski Arkansas,12,37.7,9.921945798918632
731,Randolph Arkansas,12,40.2,9.821037977503064
743,St. Francis Arkansas,12,39.1,10.019888773305594
755,Saline Arkansas,12,40.0,9.882061795045615
767,Scott Arkansas,12,43.2,9.792549362902442
779,Searcy Arkansas,12,48.5,9.867592945057734
791,Sebastian Arkansas,12,38.0,9.8631275082729
803,Sevier Arkansas,12,34.9,9.667013582642442
815,Sharp Arkansas,12,47.9,9.836136910904713
827,Stone Arkansas,12,50.2,9.87831440908364
839,Union Arkansas,12,40.3,9.805395274287783
851,Van Buren Arkansas,12,49.2,9.862750075551526
863,Washington Arkansas,12,32.3,10.02315468650052
875,White Arkansas,12,38.0,9.915177834495195
887,Woodruff Arkansas,12,45.4,9.840727848101267
899,Yell Arkansas,12,40.5,9.794972119394593
11,Alameda California,12,37.9,10.098732146692841
23,Alpine California,12,49.9,10.008768821966342
35,Amador California,12,50.3,10.050822600120748
47,Butte California,12,36.8,10.080556239905832
59,Calaveras California,12,51.9,9.936780307156084
71,Colusa California,12,35.3,9.772650484986308
83,Contra Costa California,12,40.0,9.924537461661028
95,Del Norte California,12,40.1,9.978573996835898
107,El Dorado California,12,46.5,9.907077259739788
119,Fresno California,12,32.7,9.778998019219278
131,Glenn California,12,36.0,9.757827633571655
143,Humboldt California,12,38.9,10.126343705277446
155,Imperial California,12,32.7,9.75408603040587
167,Inyo California,12,45.1,9.866683297300295
179,Kern California,12,32.0,9.77358192938918
191,Kings California,12,32.0,9.890100693082255
203,Lake California,12,45.2,9.840325536607336
215,Lassen California,12,37.9,10.260880515487523
239,Madera California,12,34.5,9.767671791872978
251,Marin California,12,47.5,9.872700192407255
263,Mariposa California,12,52.2,9.981875254316108
275,Mendocino California,12,43.8,9.8800885312799
287,Merced California,12,31.3,9.759684889080956
299,Modoc California,12,49.0,9.877728763714511
311,Mono California,12,40.7,10.14336056494046
323,Monterey California,12,34.9,9.846475264997316
335,Napa California,12,42.2,9.988167905680102
347,Nevada California,12,50.8,9.960110270161897
359,Orange California,12,38.6,9.985705981562445
371,Placer California,12,42.3,9.878975168767527
383,Plumas California,12,52.3,9.918131546764503
407,Sacramento California,12,36.6,9.947310345360805
419,San Benito California,12,36.1,9.859796522735957
455,San Francisco California,12,38.3,10.45233821375783
467,San Joaquin California,12,34.6,9.814879262295511
479,San Luis Obispo California,12,40.1,10.155133852093348
491,San Mateo California,12,39.9,10.039576009068934
503,Santa Barbara California,12,34.1,10.043525517414372
515,Santa Clara California,12,37.3,10.041558843728668
527,Santa Cruz California,12,38.4,10.123502175957952
539,Shasta California,12,41.6,9.897232341181697
551,Sierra California,12,55.2,9.909217970049918
563,Siskiyou California,12,47.7,9.856397712395783
575,Solano California,12,38.5,9.964910654249033
587,Sonoma California,12,42.8,10.009315121698602
599,Stanislaus California,12,34.4,9.806186031307886
611,Sutter California,12,36.2,9.817308267420156
623,Tehama California,12,40.5,9.805459099010509
635,Trinity California,12,52.3,9.905600325600325
647,Tulare California,12,31.5,9.68983258078701
659,Tuolumne California,12,48.5,10.016713168618525
671,Ventura California,12,38.7,9.932800358389892
683,Yolo California,12,31.3,10.202554648526077
695,Yuba California,12,33.4,9.79683479941018
23,Alamosa Colorado,12,31.8,9.982615659459126
47,Archuleta Colorado,12,51.1,9.911832632404305
59,Baca Colorado,12,44.5,9.79740296006702
71,Bent Colorado,12,41.3,10.265608750224136
95,Broomfield Colorado,12,38.1,10.017939402540268
107,Chaffee Colorado,12,48.4,10.110159166830417
119,Cheyenne Colorado,12,40.8,9.708793009284543
131,Clear Creek Colorado,12,49.0,10.081752577319588
143,Conejos Colorado,12,39.6,9.752784887263864
155,Costilla Colorado,12,50.1,9.88631335219964
167,Crowley Colorado,12,39.2,10.591849529780564
179,Custer Colorado,12,57.9,9.970382794001578
191,Delta Colorado,12,48.4,9.877684359155383
215,Dolores Colorado,12,49.7,9.892798053527981
227,Douglas Colorado,12,38.9,9.836877552298992
239,Eagle Colorado,12,38.6,10.042966241587607
251,Elbert Colorado,12,45.7,9.858494519061693
275,Fremont Colorado,12,44.7,10.142116264972094
287,Garfield Colorado,12,37.4,9.854238191172309
299,Gilpin Colorado,12,48.2,10.117603716162101
311,Grand Colorado,12,44.5,10.125746790390238
323,Gunnison Colorado,12,35.8,10.352640018325506
335,Hinsdale Colorado,12,54.1,10.070853658536587
347,Huerfano Colorado,12,55.6,9.925416847904888
359,Jackson Colorado,12,47.9,10.028663793103448
395,Kit Carson Colorado,12,39.8,9.736198393687474
407,Lake Colorado,12,37.2,10.133284114679464
419,La Plata Colorado,12,41.3,10.081522918482419
443,Las Animas Colorado,12,46.5,10.00775541155384
455,Lincoln Colorado,12,38.8,10.051359410629715
467,Logan Colorado,12,38.9,10.186483109464946
479,Mesa Colorado,12,40.2,9.955114454315543
491,Mineral Colorado,12,55.3,10.118725617685305
503,Moffat Colorado,12,37.9,9.783173981781223
515,Montezuma Colorado,12,44.6,9.8364053011496
527,Montrose Colorado,12,45.2,9.848477477898873
539,Morgan Colorado,12,35.8,9.804658043209027
551,Otero Colorado,12,39.9,9.830282306598095
563,Ouray Colorado,12,53.6,9.98336025848142
575,Park Colorado,12,51.4,10.020451048023348
587,Phillips Colorado,12,43.2,9.725017584994138
599,Pitkin Colorado,12,45.7,10.204294478527608
611,Prowers Colorado,12,37.5,9.772058823529411
623,Pueblo Colorado,12,39.6,9.925257682990548
635,Rio Blanco Colorado,12,38.1,9.829237824161922
647,Rio Grande Colorado,12,41.2,9.879932546374368
659,Routt Colorado,12,42.1,10.129343162493175
671,Saguache Colorado,12,48.2,9.792233294255569
683,San Juan Colorado,12,51.9,10.216895604395605
695,San Miguel Colorado,12,42.5,10.147511920772711
707,Sedgwick Colorado,12,47.7,9.920685053380783
719,Summit Colorado,12,39.5,10.271435942085066
731,Teller Colorado,12,50.8,9.946147786355759
743,Washington Colorado,12,42.4,9.848492257538712
767,Yuma Colorado,12,37.7,9.657620521010081
11,Fairfield Connecticut,12,40.8,9.910677046893353
23,Hartford Connecticut,12,40.2,9.988151213385366
35,Litchfield Connecticut,12,48.0,9.979515673781282
47,Middlesex Connecticut,12,46.2,10.057439237607426
59,New Haven Connecticut,12,40.5,10.025607862819491
71,New London Connecticut,12,41.6,10.03834604043649
83,Tolland Connecticut,12,37.6,10.236341319391459
95,Windham Connecticut,12,41.4,10.025974893391105
11,Kent Delaware,12,38.1,9.91886595200956
23,New Castle Delaware,12,38.9,9.990892039953254
35,Sussex Delaware,12,51.0,9.876832105881098
11,Alachua Florida,12,32.1,10.316024204309349
23,Baker Florida,12,37.2,9.909798014378637
35,Bay Florida,12,41.8,9.949742709138262
47,Bradford Florida,12,39.8,10.07353639941846
59,Brevard Florida,12,47.7,9.963853161932546
71,Broward Florida,12,40.8,9.967584026448476
83,Calhoun Florida,12,42.0,9.998865650478553
95,Charlotte Florida,12,60.1,10.001959133979144
107,Citrus Florida,12,57.1,9.934363912145773
119,Clay Florida,12,40.0,9.88977067483991
131,Collier Florida,12,52.1,9.938363791302722
143,Columbia Florida,12,40.5,9.928277487933487
155,DeSoto Florida,12,41.2,10.069556064314098
167,Dixie Florida,12,46.2,9.979329608938547
179,Duval Florida,12,36.6,9.97195587598081
191,Escambia Florida,12,37.5,10.022196496563163
203,Flagler Florida,12,52.6,9.937979336293568
215,Franklin Florida,12,46.3,10.133468041237114
227,Gadsden Florida,12,41.8,9.903674989049495
239,Gilchrist Florida,12,42.5,9.976778602949091
251,Glades Florida,12,47.7,10.159706031424228
263,Gulf Florida,12,49.8,9.896605322970892
275,Hamilton Florida,12,40.2,10.080135846964238
287,Hardee Florida,12,36.1,9.809707836804394
299,Hendry Florida,12,35.1,9.787708819189948
311,Hernando Florida,12,48.7,9.929799401815181
323,Highlands Florida,12,54.4,9.908119863303865
335,Hillsborough Florida,12,37.6,9.996844768364529
347,Holmes Florida,12,42.5,9.958632818473772
359,Indian River Florida,12,54.6,9.954406808276484
371,Jackson Florida,12,42.4,10.047321928728401
383,Jefferson Florida,12,48.4,10.008872666011511
395,Lafayette Florida,12,39.8,10.097577772500594
407,Lake Florida,12,47.4,9.922475607297926
419,Lee Florida,12,49.3,9.967927020920687
431,Leon Florida,12,31.5,10.293381406217003
443,Levy Florida,12,47.7,9.879905067103584
455,Liberty Florida,12,39.5,10.241261671055781
467,Madison Florida,12,43.5,10.04388146866382
479,Manatee Florida,12,49.3,9.932358345753162
491,Marion Florida,12,48.9,9.915577481201053
503,Martin Florida,12,53.1,9.944888819875777
515,Miami-Dade Florida,12,40.4,10.022649156771957
527,Monroe Florida,12,48.4,10.080783531820877
539,Nassau Florida,12,45.9,9.908467136812412
551,Okaloosa Florida,12,37.2,9.966874507682526
563,Okeechobee Florida,12,41.5,9.934488237526086
575,Orange Florida,12,35.7,10.072088381946417
587,Osceola Florida,12,36.6,9.941750254823008
599,Palm Beach Florida,12,45.2,9.967918384254093
611,Pasco Florida,12,44.4,9.916884467286582
623,Pinellas Florida,12,48.8,10.049736409175013
635,Polk Florida,12,40.2,9.919382375544478
647,Putnam Florida,12,45.6,9.834350048979482
659,St. Johns Florida,12,44.1,9.860703436706565
671,St. Lucie Florida,12,45.8,9.923044682101876
683,Santa Rosa Florida,12,39.9,9.945244773835812
695,Sarasota Florida,12,57.1,9.973313859391066
707,Seminole Florida,12,39.4,10.026491545612155
719,Sumter Florida,12,68.1,10.048845340582995
731,Suwannee Florida,12,43.2,9.89569759326384
743,Taylor Florida,12,42.1,9.9884139273958
755,Union Florida,12,39.7,10.059309575375732
767,Volusia Florida,12,47.1,10.00528679665416
779,Wakulla Florida,12,40.9,9.993743145914225
791,Walton Florida,12,44.3,9.90096394000351
803,Washington Florida,12,40.8,10.027275939229773
11,Appling Georgia,12,39.7,9.78895355161536
23,Atkinson Georgia,12,36.6,9.793582363747705
35,Bacon Georgia,12,38.6,9.801558581153708
47,Baker Georgia,12,47.3,9.904312047399605
59,Baldwin Georgia,12,36.1,10.182893740253954
71,Banks Georgia,12,41.6,9.901091816574816
83,Barrow Georgia,12,36.0,9.851633829889476
95,Bartow Georgia,12,38.3,9.880137927193749
107,Ben Hill Georgia,12,39.5,9.789071856287425
119,Berrien Georgia,12,39.8,9.828519874207352
131,Bibb Georgia,12,36.4,9.876666731958291
143,Bleckley Georgia,12,38.0,10.088557445816827
155,Brantley Georgia,12,40.9,9.847972159715317
167,Brooks Georgia,12,44.0,9.850682538655626
179,Bryan Georgia,12,34.4,9.741095717566306
191,Bulloch Georgia,12,29.2,10.286393327303788
203,Burke Georgia,12,38.3,9.767426171648125
215,Butts Georgia,12,38.8,10.047032402951556
227,Calhoun Georgia,12,40.4,10.245015349814187
239,Camden Georgia,12,33.6,9.941674898474371
251,Candler Georgia,12,39.7,9.766518559659353
263,Carroll Georgia,12,35.1,9.967106973798254
275,Catoosa Georgia,12,41.3,9.884896419058894
287,Charlton Georgia,12,38.6,10.160588410991638
299,Chatham Georgia,12,36.4,10.06748574784922
311,Chattahoochee Georgia,12,25.1,10.419831300999359
323,Chattooga Georgia,12,40.3,9.899645003832344
335,Cherokee Georgia,12,39.5,9.867325802923798
347,Clarke Georgia,12,28.8,10.469152426148009
359,Clay Georgia,12,48.1,9.910409315455187
371,Clayton Georgia,12,32.6,9.817381336910106
383,Clinch Georgia,12,38.1,9.79209731036567
395,Cobb Georgia,12,37.1,9.961192857640885
407,Coffee Georgia,12,36.0,9.902294733436554
419,Colquitt Georgia,12,37.2,9.80042105263158
431,Columbia Georgia,12,37.1,9.860644868997028
443,Cook Georgia,12,38.9,9.801557614360162
455,Coweta Georgia,12,39.1,9.8610528654829
467,Crawford Georgia,12,44.9,9.92042083198968
479,Crisp Georgia,12,40.4,9.80924369747899
491,Dade Georgia,12,42.1,10.03053487217672
503,Dawson Georgia,12,43.7,9.950271947295848
515,Decatur Georgia,12,38.5,9.839512952582941
527,DeKalb Georgia,12,36.2,9.986029445658287
539,Dodge Georgia,12,42.5,10.018563455471973
551,Dooly Georgia,12,45.0,10.127781926811053
563,Dougherty Georgia,12,36.2,9.910434762835964
575,Douglas Georgia,12,36.8,9.844603431663968
587,Early Georgia,12,40.6,9.760608439646713
599,Echols Georgia,12,35.9,9.82174238642037
611,Effingham Georgia,12,36.0,9.818993405499565
623,Elbert Georgia,12,42.8,9.858851724497239
635,Emanuel Georgia,12,37.3,9.833582089552237
647,Evans Georgia,12,37.5,9.74934296977661
659,Fannin Georgia,12,53.6,9.932778371773331
671,Fayette Georgia,12,43.3,9.832279913652215
683,Floyd Georgia,12,38.2,9.916487644419176
695,Forsyth Georgia,12,39.0,9.75814732325631
707,Franklin Georgia,12,40.6,9.915996402415521
719,Fulton Georgia,12,35.8,10.096048732208768
731,Gilmer Georgia,12,48.7,9.885833147374797
743,Glascock Georgia,12,43.2,9.914910804442949
755,Glynn Georgia,12,42.6,9.899200393940815
767,Gordon Georgia,12,38.8,9.877659886479307
779,Grady Georgia,12,40.0,9.764381114764747
791,Greene Georgia,12,50.9,9.864489194499017
803,Gwinnett Georgia,12,35.8,9.831625954606142
815,Habersham Georgia,12,40.0,9.909151076597247
827,Hall Georgia,12,37.5,9.84466667644944
839,Hancock Georgia,12,46.2,10.171006266997752
851,Haralson Georgia,12,39.0,9.840259129967777
863,Harris Georgia,12,44.0,9.882336247020094
875,Hart Georgia,12,44.8,9.88448006105705
887,Heard Georgia,12,41.5,9.881363750733875
899,Henry Georgia,12,37.3,9.864927673398391
911,Houston Georgia,12,35.8,9.855620379696319
923,Irwin Georgia,12,39.5,10.027984282073067
935,Jackson Georgia,12,38.0,9.823834906888472
947,Jasper Georgia,12,41.8,9.823320908643364
959,Jeff Davis Georgia,12,37.9,9.759437644723784
971,Jefferson Georgia,12,40.0,9.853925270147116
983,Jenkins Georgia,12,39.2,10.07551867219917
995,Johnson Georgia,12,42.5,10.064139790521622
1007,Jones Georgia,12,41.3,9.873648860274926
1019,Lamar Georgia,12,37.9,10.018236620013628
1031,Lanier Georgia,12,37.1,9.894953468291279
1043,Laurens Georgia,12,39.3,9.806278130652421
1055,Lee Georgia,12,37.1,9.812319951987195
1067,Liberty Georgia,12,28.5,9.863668918369008
1079,Lincoln Georgia,12,48.0,9.917687160712031
1091,Long Georgia,12,34.0,9.846720179968301
1103,Lowndes Georgia,12,30.8,10.012936306492003
1115,Lumpkin Georgia,12,37.3,10.21961618565903
1127,McDuffie Georgia,12,39.5,9.758985548048049
1139,McIntosh Georgia,12,51.3,9.992022534427598
1151,Macon Georgia,12,40.4,10.10909090909091
1163,Madison Georgia,12,40.7,9.865619143239625
1175,Marion Georgia,12,45.8,9.872209594449098
1187,Meriwether Georgia,12,43.2,9.889034818349318
1199,Miller Georgia,12,42.8,9.806016089541798
1211,Mitchell Georgia,12,39.4,9.910780771165896
1223,Monroe Georgia,12,43.1,9.960007977373268
1235,Montgomery Georgia,12,39.1,10.05267117313563
1247,Morgan Georgia,12,43.1,9.831557377049181
1259,Murray Georgia,12,38.7,9.83576167198723
1271,Muscogee Georgia,12,34.5,9.910376515178603
1283,Newton Georgia,12,36.5,9.828541129725085
1295,Oconee Georgia,12,40.0,9.739026812313803
1307,Oglethorpe Georgia,12,43.0,9.926404089389868
1319,Paulding Georgia,12,36.4,9.848615318942057
1331,Peach Georgia,12,37.6,10.030697741958905
1343,Pickens Georgia,12,46.0,9.917645975882913
1355,Pierce Georgia,12,39.8,9.802609812483945
1367,Pike Georgia,12,40.8,9.893407868368316
1379,Polk Georgia,12,37.4,9.803660854668763
1391,Pulaski Georgia,12,45.1,10.032243871778755
1403,Putnam Georgia,12,47.8,9.882444956824449
1415,Quitman Georgia,12,53.1,9.840408873423227
1427,Rabun Georgia,12,50.3,9.989980743420668
1439,Randolph Georgia,12,45.8,9.870433756270288
1451,Richmond Georgia,12,34.6,10.000743637602584
1463,Rockdale Georgia,12,39.1,9.84444970075691
1475,Schley Georgia,12,41.8,9.810880730454633
1487,Screven Georgia,12,42.5,9.913253615924388
1499,Seminole Georgia,12,45.8,9.865735475896168
1511,Spalding Georgia,12,39.0,9.856333298352398
1523,Stephens Georgia,12,40.9,9.863872709739633
1535,Stewart Georgia,12,35.0,10.703066002114484
1547,Sumter Georgia,12,36.6,9.943456171250507
1559,Talbot Georgia,12,51.0,9.983373688458434
1571,Taliaferro Georgia,12,51.1,9.985100845803514
1583,Tattnall Georgia,12,38.0,10.082258957525903
1595,Taylor Georgia,12,45.3,9.926596009975063
1607,Telfair Georgia,12,42.0,10.22547288776797
1619,Terrell Georgia,12,40.3,9.83944437932247
1631,Thomas Georgia,12,40.2,9.816116622798138
1643,Tift Georgia,12,35.9,9.871270052160222
1655,Toombs Georgia,12,37.3,9.750178904211703
1667,Towns Georgia,12,54.9,10.123361302650162
1679,Treutlen Georgia,12,39.0,9.894363135777423
1691,Troup Georgia,12,37.0,9.873616315322788
1703,Turner Georgia,12,38.5,9.806199123356294
1715,Twiggs Georgia,12,47.7,9.898977832512315
1727,Union Georgia,12,55.8,9.931859165272733
1739,Upson Georgia,12,41.4,9.851648936170212
1751,Walker Georgia,12,41.9,9.917316265535185
1763,Walton Georgia,12,39.0,9.83913185965135
1775,Ware Georgia,12,38.3,9.823873621760788
1787,Warren Georgia,12,46.7,9.899257708412637
1799,Washington Georgia,12,40.4,9.926985373515265
1811,Wayne Georgia,12,38.3,9.855190964680723
1823,Webster Georgia,12,48.5,9.941887226697354
1835,Wheeler Georgia,12,38.6,10.281935073201783
1847,White Georgia,12,45.4,9.938937593350218
1859,Whitfield Georgia,12,36.2,9.827103643384179
1871,Wilcox Georgia,12,40.2,10.10262883613202
1883,Wilkes Georgia,12,46.2,9.848644778561932
1895,Wilkinson Georgia,12,42.6,9.827630109448291
1907,Worth Georgia,12,42.4,9.860838642761891
11,Hawaii Hawaii,12,43.1,9.871964091646694
23,Honolulu Hawaii,12,38.4,10.008075824754275
47,Kauai Hawaii,12,42.2,9.881429737318966
59,Maui Hawaii,12,41.7,9.908370715040885
11,Ada Idaho,12,37.7,9.95307535294765
23,Adams Idaho,12,55.5,9.863414066138798
35,Bannock Idaho,12,34.5,9.871885249635568
47,Bear Lake Idaho,12,39.7,9.675379591836734
59,Benewah Idaho,12,46.4,9.77676919767692
71,Bingham Idaho,12,34.2,9.621118967763987
83,Blaine Idaho,12,44.2,9.898449241996438
95,Boise Idaho,12,53.3,9.945000638488061
107,Bonner Idaho,12,48.5,9.86340978158683
119,Bonneville Idaho,12,33.0,9.657363390502427
131,Boundary Idaho,12,44.6,9.766974275214373
143,Butte Idaho,12,44.2,9.732845591066615
155,Camas Idaho,12,47.2,9.787703435804703
167,Canyon Idaho,12,34.2,9.759094884032562
179,Caribou Idaho,12,37.2,9.642096436058699
191,Cassia Idaho,12,32.6,9.587207657095298
203,Clark Idaho,12,39.8,9.980828402366862
215,Clearwater Idaho,12,51.3,10.035324349017817
227,Custer Idaho,12,53.1,9.907555040556199
239,Elmore Idaho,12,32.4,9.902598960415835
251,Franklin Idaho,12,34.0,9.595993081579707
263,Fremont Idaho,12,38.7,9.85271394762959
275,Gem Idaho,12,43.9,9.794384938162544
287,Gooding Idaho,12,37.8,9.70075762566704
299,Idaho Idaho,12,50.4,9.849907001859963
311,Jefferson Idaho,12,31.9,9.52046801245355
323,Jerome Idaho,12,33.5,9.628359003768638
335,Kootenai Idaho,12,40.7,9.876224071648853
347,Latah Idaho,12,30.1,10.323130048868055
359,Lemhi Idaho,12,52.6,9.861043976579046
371,Lewis Idaho,12,49.2,9.784575299635225
383,Lincoln Idaho,12,36.6,9.788408497950055
395,Madison Idaho,12,23.3,10.15634600446037
407,Minidoka Idaho,12,34.9,9.653733542468748
419,Nez Perce Idaho,12,40.9,9.929244209067512
431,Oneida Idaho,12,39.9,9.594327962922092
443,Owyhee Idaho,12,39.3,9.770557388141757
455,Payette Idaho,12,39.2,9.732837877332889
467,Power Idaho,12,33.8,9.57737273792475
479,Shoshone Idaho,12,46.3,9.85951715572116
491,Teton Idaho,12,39.1,9.89780102124856
503,Twin Falls Idaho,12,35.2,9.752609406293884
515,Valley Idaho,12,48.7,9.929310042134832
527,Washington Idaho,12,46.3,9.764989209338827
11,Adams Illinois,12,41.5,9.846557652632383
23,Alexander Illinois,12,46.6,9.780697795521611
35,Bond Illinois,12,42.1,10.053944965298916
47,Boone Illinois,12,39.7,9.823429329149857
59,Brown Illinois,12,37.5,10.363560352690788
71,Bureau Illinois,12,44.7,9.881105185730048
